name,roaster,roast,loc_country,origin,centg_USD,rating,review_date,review,name_extended,roaster_extended,roast_extended,loc_country_extended,origin_1_extended,origin_2_extended,centg_USD_extended,rating_extended,review_date_extended,desc_extended
Ethiopia Yirgacheffe Natural G1,A.R.C.,Medium-Light,Hong Kong,Ethiopia,6.87,91,November 2017,"Rich, sweet-toned, balanced. Nougat, pink peppercorn, lemongrass, roasted cacao nib, tea rose in aroma and cup. Floral-toned, bittersweet structure",Thiriku AA Kenya,PT's Coffee Roasting,Medium,United States,Central Kenya,Sidama (Also Sidamo) Growing Region,7.2,95,November 2017,Intense
Ethiopia Awassa,Paradise Roasters,Medium-Light,United States,Ethiopia,5.28,93,November 2017,"Crisply sweet, multi-faceted. Candied violet, dark chocolate, pungent juniper wood, grapefruit zest, mango in aroma and cup. Sweetly tart structure with juicy acidity",Ethiopia Natural Yirgacheffe Tore,Kakalove Cafe,Medium-Light,Taiwan,Tore Village,Yirgacheffe Growing Region,3.89,93,November 2017,"Deeply crisp, lushly floral. Rose, almond, dark chocolate, lime zest, peppermint in aroma and cup. Tartly sweet with a clear savory edge in structure"
100% Kona SL-28,Hula Daddy Kona Coffee,Medium-Light,Hawai'i,Hawai'I,33.05,97,November 2017,"Spectacularly sweet and hugely aromatic. Meyer lemon marmalade, cedar, pistachio, guava, jasmine in aroma and cup. Crisply sweet/tart and massively juicy in structure",Direct Fair Trade Espresso,Level Ground Trading,Medium-Light,Canada,Africa,South America,2.82,92,November 2017,"Evaluated as espresso. Intrigungly complex, balanced. Dark chocolate, molasses, cedar, narcissus, date in aroma and small cup. Satiny-smooth body"
Kenya Kirinyaga Mukangu AB,Kakalove Cafe,Medium-Light,Taiwan,Kenya,4.6,95,November 2017,"Crisply sweet-savory. Lavender, roasted cacao nib, strawberry guava, hazelnut, toasted barley in aroma and cup. Sweetly floral structure with savory undertones",Decaf Ethiopia Sidamo,Old Soul Co.,Medium,United States,Sidama (Also Sidamo) Growing Region,Southern Ethiopia,5.73,90,November 2017,"Surprising and melodic, delicate yet vivid. Lilac and lemon blossom, fresh sweet grass, honey, moist pipe tobacco, fresh-cut elm in aroma and cup. In structure subtly and sweetly tart. Very light, silky mouthfeel. Unexpectedly rich and flavor-saturated in the finish: pipe tobacco, honey, lemon blossom."
Kenya Nyeri Othaya Gatugi Red Cherry Project AA,Jackrabbit Java,Medium-Dark,United States,Kenya,5.29,92,November 2017,"Sweetly pungent, gently roasty. Scorched cedar, dark chocolate, plum, lavender, lime zest in aroma and cup. Complex in structure: sweetly tart with a roasty, savory depth. Light, satiny mouthfeel. Lemon zest, dark chocolate, plum carry into a rich though drying finish.",Ethiopia Yirgacheffe Washed G1,A.R.C.,Medium-Light,Hong Kong,Yirgacheffe Growing Region,Southern Ethiopia,6.87,92,November 2017,"Delicate, gently tart, spice-toned. Pomegranate, cocoa powder, lemon blossom, white peppercorn, hazelnut in aroma and cup. Lively, quietly complex structure"
Ethiopia Washed Yirgacheffe Adado,Kakalove Cafe,Medium-Light,Taiwan,Ethiopia,3.89,95,November 2017,"Elegant, deep, sweetly savory. Jasmine, sandalwood, plum, nutella-like nut and cocoa, tangerine zest in aroma and cup. High-toned, balanced structure with citrusy acidity",Ethiopia Yirgacheffe Natural G1,A.R.C.,Medium-Light,Hong Kong,Yirgacheffe Growing Region,Southern Ethiopia,6.87,91,November 2017,"Rich, sweet-toned, balanced. Nougat, pink peppercorn, lemongrass, roasted cacao nib, tea rose in aroma and cup. Floral-toned, bittersweet structure"
Kenya Mutungati,Propeller Coffee,Medium-Light,Canada,Kenya,4.65,94,November 2017,"Bright, richly sweet, complex. Red currant, lilac, dark chocolate, lime zest, redwood in aroma and cup. Sweetly savory in structure, with juicy acidity",â€œFruityâ€ Espresso Blend,A.R.C.,Medium-Light,Hong Kong,Ethiopia,Kenya,11.45,95,November 2017,"Evaluated as espresso. Subtle and enveloping, richly sweet-toned. Jasmine, roasted cacao nib, passionfruit, sandalwood, nougat in aroma and small cup.  Delicate, silky mouthfeel"
Guatemala El Retiro del Quisaya,Chocolate Fish Coffee Roasters,Light,United States,Guatemala,5.58,93,November 2017,"Delicately sweet and balanced with a subtle hint of fermented fruit. Peach, sweet chocolate, sandalwood, honeysuckle, almond in aroma and cup. Gently and sweetly bright in structure",Decaf Colombia Select,Bootstrap Coffee Roasters,Medium-Light,United States,Colombia,Ethiopia,4.41,87,November 2017,"Sweet, delicate, floral and wood-toned. Fresh-cut fir, demerara sugar, orange zest, faint rose-like flowers in aroma and cup. Gently bittersweet structure"
Kamwangi Kenya,Lexington Coffee Roasters,Medium-Light,United States,Kenya,5.86,93,November 2017,"Deeply and pungently sweet-tart. Lavender, grapefruit zest, sandalwood, blackberry, a hint of bakerâ€™s chocolate in aroma and cup. Simultaneously brightly tart and deeply savory in structure. Lightly syrupy, plush mouthfeel. Grapefruit zest and blackberry carry into a crisply resonant finish.",Ethiopia Awassa,Paradise Roasters,Medium-Light,United States,Yirgacheffe,Ethiopia,5.28,93,November 2017,"Crisply sweet, multi-faceted. Candied violet, dark chocolate, pungent juniper wood, grapefruit zest, mango in aroma and cup. Sweetly tart structure with juicy acidity"
Ethiopia Gelana Abaya,Big Creek Coffee Roasters,Medium-Light,United States,Ethiopia,4.41,92,November 2017,"Sweet, spice-toned, pungent. Hazelnut, cocoa, ripe cantaloupe, tangerine zest, a hint of cinnamon in aroma and cup. Complexly structured: very sweet, gently tart, slightly bitterish. Syrupy and full in mouthfeel. Cocoa and tangerine carry into a deep, long finish.",100% Kona SL-28,Hula Daddy Kona Coffee,Medium-Light,Hawai'i,Holualoa,North Kona Growing District,33.05,97,November 2017,"Spectacularly sweet and hugely aromatic. Meyer lemon marmalade, cedar, pistachio, guava, jasmine in aroma and cup. Crisply sweet/tart and massively juicy in structure"
Ethiopia Bishan Fugu,Noble Coffee Roasting,Light,United States,Ethiopia,5.58,93,November 2017,"Delicate, sweetly tart. Strawberry, caramel, musk, cocoa butter, magnolia in aroma and cup. Quietly tart-leaning structure with sweet undertones",Kenya Kirinyaga Mukangu AB,Kakalove Cafe,Medium-Light,Taiwan,Kirinyaga District,South-Central Kenya,4.6,95,November 2017,"Crisply sweet-savory. Lavender, roasted cacao nib, strawberry guava, hazelnut, toasted barley in aroma and cup. Sweetly floral structure with savory undertones"
Ethiopia Amaro Gayo Natural,Ben's Beans,Medium-Light,United States,Ethiopia,4.98,92,November 2017,"Deeply sweet, fruit- and cocoa-toned. Bakerâ€™s chocolate, dried coconut, tea rose, almond, cedar in aroma and cup. Fruit-toned structure with round, gentle acidity",Kenya Nyeri Othaya Gatugi Red Cherry Project AA,Jackrabbit Java,Medium-Dark,United States,Nyeri Growing Region,South-Central Kenya,5.29,92,November 2017,"Sweetly pungent, gently roasty. Scorched cedar, dark chocolate, plum, lavender, lime zest in aroma and cup. Complex in structure: sweetly tart with a roasty, savory depth. Light, satiny mouthfeel. Lemon zest, dark chocolate, plum carry into a rich though drying finish."
Static Colombia Decaf Midnight,Espresso Republic,Medium,United States,Colombia,4.98,89,December 2017,"Deeply sweet, chocolate-toned. Dark chocolate, Brazil nut, gardenia, baked apple, cedar in aroma and cup. Roundly sweet in structure",Ethiopia Washed Yirgacheffe Adado,Kakalove Cafe,Medium-Light,Taiwan,Yirgacheffe Growing Region,Southern Ethiopia,3.89,95,November 2017,"Elegant, deep, sweetly savory. Jasmine, sandalwood, plum, nutella-like nut and cocoa, tangerine zest in aroma and cup. High-toned, balanced structure with citrusy acidity"
Diima #9 Ethiopia Natural,Roast House,Medium-Light,United States,Ethiopia,7.35,93,December 2017,"Richly sweet, fruit-toned. Dried strawberry, dark chocolate, freesia-like flowers, tangerine zest, a hint of aged rum in aroma and cup. Sweetly round in structure",Outbound Espresso,Propeller Coffee,Medium-Light,Canada,Mexico,Ethiopia,3.98,93,November 2017,"Evaluated as espresso. Balanced, deeply and sweetly pungent. Honeysuckle, cashew, bakerâ€™s chocolate, cedar, caramel in aroma and small cup. Satiny mouthfeel"
Kenya Thaitu,Good Folks Coffee,Medium-Light,United States,Kenya,6.47,95,December 2017,"Intensely sweet, intricately rich. Pink grapefruit zest, blackberry, fresh pipe tobacco, lavender, bakerâ€™s chocolate in aroma and cup. Balanced, sweet-savory structure",Ace Espresso,Propeller Coffee,Medium-Light,Canada,Mexico,Ethiopia,3.98,94,November 2017,"Evaluated as espresso. Floral-toned, lively. Black currant, narcissus, sandalwood, roasted cacao nib, molasses in aroma and small cup. Syrupy, buoyant mouthfeel"
Yule Blend 2018,Flight Coffee Co.,Medium-Light,United States,Kenya,4.41,94,December 2017,"Crisp, sweet-savory. Mulberry, pink peppercorn, maple syrup, gardenia, cedar in aroma and cup. Crisply sweet-savory in structure",Kenya Mutungati,Propeller Coffee,Medium-Light,Canada,Nakuru Province,South-Central Kenya,4.65,94,November 2017,"Bright, richly sweet, complex. Red currant, lilac, dark chocolate, lime zest, redwood in aroma and cup. Sweetly savory in structure, with juicy acidity"
Ethiopia Banko Gotiti Natural G1,Green Stone Coffee,Light,Taiwan,Ethiopia,8.44,94,December 2017,"Crisp, sweetly tart. Dark chocolate, pie cherry, cedar, honey, magnolia in aroma and cup. Bittersweet in structure with crisp, citrus-like acidity",Guatemala El Retiro del Quisaya,Chocolate Fish Coffee Roasters,Light,United States,San Martin Jilotepeque,Chimaltenango Department,5.58,93,November 2017,"Delicately sweet and balanced with a subtle hint of fermented fruit. Peach, sweet chocolate, sandalwood, honeysuckle, almond in aroma and cup. Gently and sweetly bright in structure"
Panama Auromar Geisha Natural,Willoughby's Coffee & Tea,Medium-Light,United States,Panama,16.17,96,December 2017,"Complex, uniquely sweet, tropical. Plumeria, roasted cacao nib, mango, sandalwood, nougat in aroma and cup. Sweetly tart structure with bright, juicy acidity",Kenya Peaberry Kericho County,Caffe Luxxe,Medium-Light,United States,Kericho County,Kenya,5.88,92,November 2017,"Sweetly pungent, lightly savory. Unusual aromatics: floral-toned honey, plum, musk, a hint of coriander in aroma and cup. Crisply sweet, savory-edged structure"
Panama Elida Green Tip Gesha Natural,Equator Coffees & Teas,Medium-Light,United States,Panama,32.63,94,December 2017,"Spice-toned, richly sweet. Raspberry, dark chocolate, hazelnut, gardenia, bergamot in aroma and cup. Sweet, fruit-forward structure",Static El Salvador Finca Maria Luisa,Espresso Republic,Medium-Light,United States,Santa Rosa,La UniÃ³n Department,3.5,89,November 2017,"Brisk and subtly layered. Almond butter, dried apricot, fresh-cut fir, hints of dark chocolate and clover in aroma and cup. Sweetly brisk and dry in structure"
100% Kona Bourbon Pointu Laurina,Hula Daddy Kona Coffee,Medium-Light,Hawai'i,Hawai'I,19.82,95,November 2017,"Sweet, deep, intense but balanced. Peach, maple syrup, sandalwood, grapefruit zest, almond, magnolia in aroma and cup. Round, resonantly and sweetly bright in structure. Silky and buoyant in mouthfeel. Deep, long, flavor-saturated finish.",Kamwangi Kenya,Lexington Coffee Roasters,Medium-Light,United States,Gichugu Division,Kirinyaga County,5.86,93,November 2017,"Deeply and pungently sweet-tart. Lavender, grapefruit zest, sandalwood, blackberry, a hint of bakerâ€™s chocolate in aroma and cup. Simultaneously brightly tart and deeply savory in structure. Lightly syrupy, plush mouthfeel. Grapefruit zest and blackberry carry into a crisply resonant finish."
Kenya AB Muchoki,Klatch Coffee,Medium-Light,United States,Kenya,5.86,95,November 2017,"Crisply and sweetly tart, delicate yet confident. Peach, vanilla bean, grapefruit zest, almond, pink peppercorn in aroma and cup. Poised in structure: sweet, tart, savory. Mouthfeel is cushiony, plush. Flavor saturates a savory-edged, drying finish.",Ethiopia Gelana Abaya,Big Creek Coffee Roasters,Medium-Light,United States,Yirgacheffe Growing Region,Southern Ethiopia,4.41,92,November 2017,"Sweet, spice-toned, pungent. Hazelnut, cocoa, ripe cantaloupe, tangerine zest, a hint of cinnamon in aroma and cup. Complexly structured: very sweet, gently tart, slightly bitterish. Syrupy and full in mouthfeel. Cocoa and tangerine carry into a deep, long finish."
Colombia NariÃ±o Duende,Paradise Roasters,Medium-Light,United States,Colombia,4.98,93,November 2017,"Spice-toned, chocolaty. Chocolate-toned malt, date, hazelnut, fresh pipe tobacco, stick cinnamon in aroma and cup. Richly bittersweet in structure",Ethiopia Bishan Fugu,Noble Coffee Roasting,Light,United States,Hambela District,Guji Zone,5.58,93,November 2017,"Delicate, sweetly tart. Strawberry, caramel, musk, cocoa butter, magnolia in aroma and cup. Quietly tart-leaning structure with sweet undertones"
Estate Medium Roast,Ka'u Specialty Coffee,Medium-Light,Hawai'i,Hawai'I,13,93,January 2018,"Deeply sweet, delicately zesty, complexly fruit- and floral-toned. Peach, grapefruit zest, alyssum-like flowers, dark chocolate, cinnamon in aroma and cup. Sweetly tart in structure, with a deepening savory-bitter edge. Light, satiny mouthfeel",Sustainable Harvest Homacho Waeno Natural,Red E CafÃ©,Light,United States,Aleta Wondo,Sidama (Also Sidamo) Growing Region,4.7,93,November 2017,"Deeply and richly sweet-savory. Orange marmalade, pipe tobacco, dried fig, dark chocolate, freesia-like flowers in aroma and cup. Bright, sweetly-tart in structure with zesty acidity"
Ethiopia Holy Grail Natural Yirgacheffe,Simon Hsiehâ€™s Aroma Roast Coffees,Medium,Taiwan,Ethiopia,17.7,93,January 2018,"Evaluated as espresso. Crisply sweet-tart. Frangipane, dark chocolate, cedar, tamarind, jasmine in aroma and small cup. Crisp, velvety mouthfeel",Ethiopia Amaro Gayo Natural,Ben's Beans,Medium-Light,United States,Yirgacheffe Growing Region,Southern Ethiopia,4.98,92,November 2017,"Deeply sweet, fruit- and cocoa-toned. Bakerâ€™s chocolate, dried coconut, tea rose, almond, cedar in aroma and cup. Fruit-toned structure with round, gentle acidity"
Blue Label La Esmeralda Porton Pascua Gesha,PT's Coffee Roasting,Medium-Light,United States,Panama,26.46,95,December 2017,"Richly sweet, crisply complex, spice-toned. Lilac, bergamot, white peach, caramelized walnut, sandalwood in aroma and cup. Delicate, sweetly tart, juicy in structure",Static Colombia Decaf Midnight,Espresso Republic,Medium,United States,Huila,Colombia,4.98,89,December 2017,"Deeply sweet, chocolate-toned. Dark chocolate, Brazil nut, gardenia, baked apple, cedar in aroma and cup. Roundly sweet in structure"
Auromar Gesha Natural,PT's Coffee Roasting,Light,United States,Panama,17.64,93,December 2017,"Delicate, crisply sweet. Dried coconut, bakerâ€™s chocolate, candied violet, cedar, nutmeg in aroma and cup. Balanced, sweet-tart structure",Diima #9 Ethiopia Natural,Roast House,Medium-Light,United States,Yirgacheffe Growing Region,Southern Ethiopia,7.35,93,December 2017,"Richly sweet, fruit-toned. Dried strawberry, dark chocolate, freesia-like flowers, tangerine zest, a hint of aged rum in aroma and cup. Sweetly round in structure"
â€œNaturalsâ€,Hala Tree Kona Coffee,Medium-Light,Hawai'i,Hawai'I,13.23,92,December 2017,"Sweet-toned, fruit-forward. Raspberry, cedar, bakerâ€™s chocolate, gardenia, molasses in aroma and cup. Bittersweet structure",Sweet Holiday Blend,Red Rooster Coffee Roaster,Medium-Light,United States,Ethiopia,Kenya,4.41,93,December 2017,"Richly sweet, spice-toned. Bakerâ€™s chocolate, tangerine zest, clove, date, sandalwood in aroma and cup. High-toned, sweetly tart in structure"
Finca Merced Guatemala,Chocolate Fish Coffee Roasters,Light,United States,Guatemala,5,93,December 2017,"Richly sweet, high-toned. Maple syrup, orange zest, roasted cacao nib, peach, cedar in aroma and cup. Sweet-tart structure",DR Congo Virunga Organic,Speckled Ax,Medium-Light,United States,Kirumba,North Kivu Province,5,93,December 2017,"Deeply sweet-savory, uniquely pungent. Ripe tomato, pink peppercorn, lantana-like flowers, blood orange zest, fresh pipe tobacco in aroma and cup. Savory-leaning, richly sweet in structure"
El PeÃ±on Nicaragua,Barrington Coffee Roasting,Light,United States,Nicaragua,5.28,94,December 2017,"Vibrant, richly sweet, clear-toned. Roasted cacao nib, ginger blossom, dried fig, sandalwood, sugar cane in aroma and cup. Lushly sweet-tart in structure with juicy acidity",Holiday Blend,Fumi Coffee,Light,Taiwan,Ethiopia,Costa Rica,9.7,93,December 2017,"Crisply sweet-tart, high-toned. Lemon verbena, cedar, pomegranate, lavender, maple syrup in aroma and cup. Sweetly tart in structure with bright, juicy acidity. The finish is deep and rich, with sweet, lemony herb tones, tart fruit notes, and hints of aromatic wood."
Static Kenya Kavutiri,Espresso Republic,Medium-Light,United States,Kenya,7.35,92,December 2017,"Delicate, sweetly spice-toned. Red currant, lemon verbena, bakerâ€™s chocolate, rose hips, a hint of cannabis in aroma and cup. Crisply sweet-savory structure",Kenya Thaitu,Good Folks Coffee,Medium-Light,United States,Nakuru County,South-Central Kenya,6.47,95,December 2017,"Intensely sweet, intricately rich. Pink grapefruit zest, blackberry, fresh pipe tobacco, lavender, bakerâ€™s chocolate in aroma and cup. Balanced, sweet-savory structure"
Kenya Gicherori,The WestBean Coffee Roasters,Medium-Light,United States,Kenya,7.05,91,December 2017,"Sweetly savory, layered. Rhododendron-like flowers, cinnamon, bakerâ€™s chocolate, cedar, red currant in aroma and cup. Round, savory-leaning structure",Yule Blend 2018,Flight Coffee Co.,Medium-Light,United States,Kirinyaga District,South-Central Kenya,4.41,94,December 2017,"Crisp, sweet-savory. Mulberry, pink peppercorn, maple syrup, gardenia, cedar in aroma and cup. Crisply sweet-savory in structure"
Ethiopia Yirgacheffe,Mystic Monk Coffee,Medium,United States,Ethiopia,4.11,90,February 2018,"Richly sweet, chocolate-toned. Molasses, bakerâ€™s chocolate, lily, cedar, black peppercorn in aroma and cup. Bittersweet structure with round, gentle acidity",Los Congos Pacamara Honey,Dragonfly Coffee Roasters,Light,United States,Nueva Segovia Growing Region,Nicaragua,5.88,93,December 2017,"Sweetly pungent, richly savory-toned. Blackberry jam, roasted cacao nib, rhododendron, sundried tomato, nougat in aroma and cup. Sweet-savory structure with crisp, floral acidity"
Gedeb Ethiopia,JBC Coffee Roasters,Medium-Light,United States,Ethiopia,5.51,95,January 2018,"Deeply sweet, intensely pungent. Dark chocolate, tangerine zest, star jasmine, maple syrup, frankincense in aroma and cup. Deeply sweet-toned in structure with lively, bright acidity",Coffea Diversa Costa Rica Sudan Rume,OQ Coffee Co.,Medium-Light,United States,Biolley,Southern Costa Rica,12.35,93,December 2017,"Bright, crisp, deeply sweet. Honey, lilac, cedar, tea rose, mango in aroma and cup. Crisply sweet-tart structure"
Civet Yirgacheffe Sisota,"Good Chance Biotechnology, Ltd.",Medium-Light,Taiwan,Ethiopia,90.83,93,January 2018,"Richly savory, sweetly herb-toned. Bakerâ€™s chocolate, fennel, black cherry, cedar, wisteria-like flowers in aroma and cup. Round, deeply sweet in structure",Ethiopia Banko Gotiti Natural G1,Green Stone Coffee,Light,Taiwan,Kochere,Yirgacheffe Growing Region,8.44,94,December 2017,"Crisp, sweetly tart. Dark chocolate, pie cherry, cedar, honey, magnolia in aroma and cup. Bittersweet in structure with crisp, citrus-like acidity"
Civet Ethiopia Papilio Sidamo,"Good Chance Biotechnology, Ltd.",Medium-Light,Taiwan,Ethiopia,90.83,93,January 2018,"Delicately sweet-tart, fruit-toned. Strawberry, aged rum, cocoa powder, pink peppercorn, celery seed in aroma and cup. Sweetly fermenty in structure",Panama Auromar Geisha Natural,Willoughby's Coffee & Tea,Medium-Light,United States,Piedra Candela,Chiriqui Province,16.17,96,December 2017,"Complex, uniquely sweet, tropical. Plumeria, roasted cacao nib, mango, sandalwood, nougat in aroma and cup. Sweetly tart structure with bright, juicy acidity"
Estate Carbonic Maceration,Ka'u Specialty Coffee,Medium-Light,Hawai'i,Hawai'I,13,90,January 2018,"Gently bittersweet, deeply floral-toned. Bakerâ€™s chocolate, aromatic orchid, hazelnut, oak in aroma and cup. Low-toned, crisply bittersweet in structure. Mouthfeel is light though silky. The finish consolidates to a rich, oaky chocolate.   ",El Salvador Finca Kilimanjaro,Bird Rock Coffee Roasters,Medium-Light,United States,Santa Ana Department,El Salvador,7.35,95,December 2017,"High-toned, richly sweet. Strawberry guava, roasted cacao nib, lime zest, jasmine, almond in aroma and cup. Sweetly-tart structure with juicy, balanced acidity"
Ethiopia Banko Gotiti,Red Rooster Coffee Roaster,Light,United States,Ethiopia,4.99,94,January 2018,"Resonantly fruit-forward, elegant, complex. Honey, dried raspberry, chocolate truffle, aged rum, a hint of marjoram in aroma and cup. Juicy, rich structure with bright, vibrant acidity",Panama Elida Green Tip Gesha Natural,Equator Coffees & Teas,Medium-Light,United States,Boquete Growing Region,Western Panama,32.63,94,December 2017,"Spice-toned, richly sweet. Raspberry, dark chocolate, hazelnut, gardenia, bergamot in aroma and cup. Sweet, fruit-forward structure"
Colombia David Gomez 100% Caturra,Manzanita Roasting Company,Light,United States,Colombia,5,92,January 2018,"Crisply sweet, spice-toned. Dried papaya, caramel, tangerine zest, pink-peppercorn, vanilla in aroma and cup. High-toned, sweetly tart in structure with juicy, bright acidity",Gikanda Kenya,JBC Coffee Roasters,Medium-Light,United States,South-Central Kenya,Boquete Growing Region,5.66,96,November 2017,"Sweetly bright, spicy and savory-edged. Orange zest, black currant, bakerâ€™s chocolate, tamarind, floral-toned vanilla, redwood in aroma and cup. Deeply bright and richly savory in structure"
Panama Auromar Estate Geisha Peaberry,Bird Rock Coffee Roasters,Medium-Light,United States,Panama,22.49,95,January 2018,"Resonantly bright, floral-toned. Jasmine, frankincense, cardamom, toffee, apricot in aroma and cup. Balanced, sweetly tart structure with juicy acidity",Panama Don Julian Pacamara,Willoughby's Coffee & Tea,Medium-Light,United States,Horcheta,Chiriqui Province,11.02,95,November 2017,"Richly sweet/tart, crisply complex. Dark chocolate, roasted cashew, pink grapefruit, sandalwood, Chinese five-spice in aroma and cup. Structure is drying but sweetly juicy"
Indonesia Emerald Mandheling,A.R.C.,Medium-Light,Hong Kong,Indonesia,8.02,92,January 2018,"Deeply rich, spicy sweet. Pear, cedar, vanilla, grapefruit zest, cumin in aroma and cup. Tartly bittersweet in structure",100% Kona Bourbon Pointu Laurina,Hula Daddy Kona Coffee,Medium-Light,Hawai'i,Holualoa,North Kona Growing District,19.82,95,November 2017,"Sweet, deep, intense but balanced. Peach, maple syrup, sandalwood, grapefruit zest, almond, magnolia in aroma and cup. Round, resonantly and sweetly bright in structure. Silky and buoyant in mouthfeel. Deep, long, flavor-saturated finish."
